epoch,accuracy,loss,val_accuracy,val_loss
0,0.36424022912979126,1.3303207159042358,0.4438040256500244,1.2862948179244995
1,0.6382507681846619,0.9958900809288025,0.6829971075057983,0.9185852408409119
2,0.7818986773490906,0.5850698351860046,0.7089337110519409,0.7505439519882202
3,0.8546913862228394,0.4160454273223877,0.7060518860816956,0.7542616724967957
4,0.8812621235847473,0.33407023549079895,0.7060518860816956,0.8134608864784241
5,0.9061721563339233,0.2695986330509186,0.6945244669914246,0.8450180292129517
6,0.9230556488037109,0.22552476823329926,0.7002881765365601,0.8649275898933411
7,0.9438139796257019,0.1802714765071869,0.6916426420211792,0.9298741221427917
8,0.9562690258026123,0.1533767729997635,0.6829971075057983,0.9619632959365845
9,0.9620813727378845,0.1308709979057312,0.7031700015068054,1.0200282335281372
10,0.9642956256866455,0.12291213124990463,0.6887608170509338,1.1036652326583862
11,0.9681705236434937,0.10755308717489243,0.680115282535553,1.142486810684204
12,0.971491813659668,0.10117261856794357,0.680115282535553,1.1985183954238892
13,0.9717686176300049,0.09397106617689133,0.6743515729904175,1.2569913864135742
14,0.971491813659668,0.09245823323726654,0.6829971075057983,1.2858721017837524
15,0.9725989699363708,0.08531807363033295,0.6772334575653076,1.2839661836624146
16,0.9748131632804871,0.08123762905597687,0.6829971075057983,1.3808842897415161
17,0.974259614944458,0.07775601744651794,0.680115282535553,1.3398041725158691
18,0.9775809645652771,0.06854821741580963,0.6829971075057983,1.376999855041504
19,0.9739828109741211,0.07821239531040192,0.6916426420211792,1.3901361227035522
20,0.9784113168716431,0.06767411530017853,0.680115282535553,1.4417803287506104
21,0.976473867893219,0.07073978334665298,0.6743515729904175,1.471381664276123
22,0.9778577089309692,0.06118980795145035,0.6945244669914246,1.4700337648391724
23,0.9778577089309692,0.06365537643432617,0.6599423885345459,1.5501190423965454
24,0.9767506122589111,0.06299788504838943,0.6829971075057983,1.4988274574279785
